pdb_filename,rmsd_init,score_init,rmsd_relax,disall,bad_contacts,bond_lenangle,g_factors,bond_lengths_highlighted,bond_lengths_off,bond_angles_highlighted,bond_angles_off,score_relax
1_5wjd_A_m11_a15.00_s1_0_-15.00_SC.pdb,0,10.497876142299758,0,0,0,0,0,0,0,0,0,-2.0772050860997373
1_4kvm_E_m12_a9.00_s1_0_-9.00_SC.pdb,0,6.484725176595892,0,0,0,0,0,0,0,0,0,-2.2513158378463474
1_4kvm_E_m10_a15.00_s1_1_15.00_SC.pdb,0,3.1709629161072885,0,0,0,0,0,0,0,0,0,-1.9734931992999103
1_5hh0_A_m9_a15.00_s1_0_-15.00_SC.pdb,0,0.5691825214793088,0,0,0,0,0,0,0,0,0,-1.061204951405489
1_5wjd_A_m9_a15.00_s1_0_-15.00_SC.pdb,0,3.810096335797435,0,0,0,0,0,0,0,0,0,-2.392133877197229
1_5wjd_A_m8_a15.00_s1_1_15.00_SC.pdb,0,-0.39474680352450514,0,0,0,0,0,0,0,0,0,-2.448993693817134
1_5icv_A_m12_a12.00_s1_1_12.00_SC.pdb,0,1.2976413513680904,0,0,0,0,0,0,0,0,0,-2.4896826935249536
1_5k18_B_m10_a15.00_s1_1_15.00_SC.pdb,0,2.173550325631466,0,0,0,0,0,0,0,0,0,-1.8518213334280953
1_5wjd_A_m7_a18.00_s1_0_-18.00_SC.pdb,0,4.185879399531459,0,0,0,0,0,0,0,0,0,-2.0166579213713374
1_4kvm_E_m12_a0.00_s1_0_0.00_SC.pdb,0,0.07282288983627308,0,0,0,0,0,0,0,0,0,-2.3431850928472286
1_5icv_A_m9_a18.00_s1_0_-18.00_SC.pdb,0,2.882866253564483,0,0,0,0,0,0,0,0,0,-2.261162493683534
1_5hh0_A_m11_a18.00_s1_0_-18.00_SC.pdb,0,18.717611223599974,0,0,0,0,0,0,0,0,0,-2.0323545861121852
1_3tfy_C_m9_a15.00_s1_1_15.00_SC.pdb,0,9.882341573392953,0,0,0,0,0,0,0,0,0,-2.165383696175238
1_5hh0_A_m12_a9.00_s1_1_9.00_SC.pdb,0,2.1838220045689147,0,0,0,0,0,0,0,0,0,-2.2113138650575306
1_4kvm_E_m12_a18.00_s1_0_-18.00_SC.pdb,0,26.19713501206072,0,0,0,0,0,0,0,0,0,-1.5877049349611831
1_5hh0_A_m8_a0.00_s1_0_0.00_SC.pdb,0,34.385753102168714,0,0,0,0,0,0,0,0,0,-2.4925997499076513
1_5icv_A_m7_a6.00_s1_1_6.00_SC.pdb,0,-0.9842265868770473,0,0,0,0,0,0,0,0,0,-2.725875723303857
1_5wjd_A_m10_a6.00_s1_1_6.00_SC.pdb,0,8.236503354976671,0,0,0,0,0,0,0,0,0,-2.3724558032973166
1_5k18_B_m8_a12.00_s1_1_12.00_SC.pdb,0,2.3975243356601914,0,0,0,0,0,0,0,0,0,-1.8962942633157749
1_4kvm_E_m10_a9.00_s1_1_9.00_SC.pdb,0,7.2116004096391535,0,0,0,0,0,0,0,0,0,-2.190141697412615
1_3tfy_C_m11_a6.00_s1_1_6.00_SC.pdb,0,0.02674112073173562,0,0,0,0,0,0,0,0,0,-2.526853491975852
1_5k18_B_m7_a9.00_s1_0_-9.00_SC.pdb,0,3.125006183554011,0,0,0,0,0,0,0,0,0,-2.032269112081483
1_5icv_A_m7_a9.00_s1_0_-9.00_SC.pdb,0,1.3344372513877816,0,0,0,0,0,0,0,0,0,-2.671998307762204
1_3tfy_C_m7_a12.00_s1_1_12.00_SC.pdb,0,1.2664632609717392,0,0,0,0,0,0,0,0,0,-2.3487046423501976
1_5k18_B_m9_a3.00_s1_1_3.00_SC.pdb,0,0.5691825214793088,0,0,0,0,0,0,0,0,0,-2.0225711405798177
1_5icv_A_m8_a15.00_s1_0_-15.00_SC.pdb,0,21.72569453250765,0,0,0,0,0,0,0,0,0,-2.431218186767048
